lead_step,res8_m4_w128_mp1_h6_bs4 (step 50000),res8_m4_w128_mp2_h6_bs4 (step 50000),res8_m4_w256_mp1_h6_bs4 (step 50000),res8_m4_w256_mp2_h6_bs4 (step 50000),res8_m4_w512_mp1_h6_bs4 (step 50000),res8_m4_w512_mp2_h6_bs4 (step 50000),res8_m4_w1024_mp1_h6_bs4 (step 50000),res8_m4_w1024_mp2_h6_bs4 (step 50000)
1,1.4057811390269885,1.4828518954190342,1.2456312303419237,1.196025699764103,1.3438718721464082,1.5556963635729504,1.5639818860338879,1.4172894366375812
2,1.7832580170074066,2.019523323356331,1.5831219561688312,1.6742662702287947,1.816377912248884,2.1793325845297282,2.2706691196986606,2.105111852868811
3,1.9958761636312905,2.284660834770698,1.7822979022930194,2.0862840924944197,1.9615650920124796,2.579924744445008,2.652299757127638,2.2167861740310473
4,2.1950146563641435,2.4165589964234986,1.9261066387226056,2.204330048003754,2.186116998845881,2.9264074548498376,2.694814904943689,2.3903628262606533
5,2.4670802525111606,2.6729863154423703,2.1993120862292006,2.5980575363357348,2.4849415568562296,3.0978290508319803,2.961462045644785,2.702461341758827
6,2.7211975493988434,2.720426286969866,2.4452932778891032,2.927736554827009,2.833852594549006,3.5694853547331573,3.2540316891360592,3.281141404981737
7,2.8246634347098216,2.7053737888088474,2.5542228005149146,2.676709658139712,2.8863026012073862,3.8432506214488638,3.3433275098924513,3.6113699380453532
8,2.825774353820008,2.6995659369926948,2.644010469510958,2.8374774486987624,3.1250303194120335,3.9079274759664164,3.1880717091746145,3.8339292848265014
9,3.07732579615209,2.8477285806234782,2.7031295578201098,2.973441384055398,3.1637959666066355,4.066077096121652,3.306680852716619,3.749762200689935
10,3.293929062880479,2.9916528478845374,2.675932450727983,3.0938952557452315,3.355058348024046,4.150465531782671,3.686227377358969,3.6033668022651177
11,3.4452161912794237,3.2239724691812093,2.767465170327719,3.224295678076806,3.249753679547991,4.405261547534497,3.991895997679079,3.919548530083198
12,3.738771711077009,3.3266072459035105,2.9928838556463067,3.2465425961977474,3.4510656579748376,4.561422570959314,4.411458201222605,4.0749535498681
13,3.7522404658329953,3.510810356635552,3.333735082056615,3.325102372602983,3.9856888411881086,4.880130718280743,4.702980140586952,3.962159590287642
14,3.8466786966695414,3.828666587928673,3.5592336283101664,3.4738638741629466,4.071011233639408,4.810427975344967,4.903013749556108,3.752889856115564
15,3.84696643383472,4.0788498915635145,3.794632948838271,3.585268689440442,3.823843423422281,4.534517957018568,5.2441103055879665,3.957862358588677
16,3.658629776595475,4.051615331080053,4.384048263747971,3.6893599869368914,4.4746628798447645,4.723117184329342,5.4093394093699265,4.279805963689631
17,3.7110550124923902,4.176735023399452,5.270794757000812,3.7546747381036933,5.429842267717634,5.262456522359477,5.5832610687652195,4.472507625431209
18,3.8254410384537336,4.314825479086343,6.1176833115614855,4.010746348987926,5.948501983246246,5.460444066431616,5.83958811574168,4.849335707627334
19,4.0773236163250814,4.7477020660004055,6.835042581929789,4.189633257977374,6.330456225903003,5.8740614853896105,6.091878915761972,4.914478846958706
20,4.38696625944856,5.05943674855418,7.388869644759537,4.7222597196504665,6.500718748414672,5.8278273545302355,6.758985643262987,5.231364262568486
21,4.456705663111303,5.375311120764001,7.729252406529018,5.0920794598467936,6.945236602386871,6.036160753918932,6.9096754990614855,5.295314838359882
22,4.406217897093141,5.927609134030033,8.07158512264103,5.591908838841822,6.98015663840554,6.451846036044034,7.042566472833807,5.458947912439124
23,4.293720393985897,6.465739064402395,8.108969948508523,5.535226995294744,6.357410975864956,7.011676540622464,7.185261515827922,5.803913859577922
24,4.088181532822646,6.872331891741071,8.019441678926542,5.1334983528434455,6.386385830965909,7.114968634271002,7.285365117060674,6.145497904195414
